struct,nrecs,file,sales,searches,ltime,saletime,searchtime\n
Array,10000,sort-10000.csv,10000,10000,669220754,5745352,3093861
Array,25000,sort-25000.csv,10000,10000,1214660376,5610935,2032231
Array,25000,sort-50000.csv,10000,10000,1271882447,5048138,1104262
Array,25000,sort-100000.csv,10000,10000,1192980644,4999979,1159065
Array,25000,sort-1000000.csv,10000,10000,1262784764,5400915,1061344
Array,10000,rand-10000.csv,10000,10000,707848431,5577897,3004125
Array,25000,rand-25000.csv,10000,10000,1606570990,4936019,1159515
Array,10000,sort-10000.csv,10000,10000,705278744,4539255,738613
Array,25000,sort-25000.csv,10000,10000,1217815339,3222783,603425
Array,50000,sort-50000.csv,10000,10000,1992305651,4342049,582574
Array,100000,sort-100000.csv,10000,10000,3546642504,4280175,726939
Array,1000000,sort-1000000.csv,10000,10000,31923650697,4274035,764329
Array,10000,rand-10000.csv,10000,10000,665482285,3520708,597745
Array,25000,rand-25000.csv,10000,10000,1245230570,3514244,577266
Array,50000,rand-50000.csv,10000,10000,1996851687,4798069,610779
Array,100000,rand-100000.csv,10000,10000,3621716313,3561322,754097
